diagnostic_type,window_seconds,multi_site_events_raw,multi_site_events_offset_corrected,improvement,reference_site_id,other_site_id,n_matches,median_delta_s_other_minus_ref,mad_delta_s,p10_delta_s,p90_delta_s,applied_correction_s
window_sweep,0.5,0.0,0.0,0.0,6,,,,,,,
window_sweep,0.75,0.0,0.0,0.0,6,,,,,,,
window_sweep,1.0,0.0,0.0,0.0,6,,,,,,,
window_sweep,2.0,0.0,0.0,0.0,6,,,,,,,
window_sweep,5.0,0.0,0.0,0.0,6,,,,,,,
window_sweep,10.0,0.0,0.0,0.0,6,,,,,,,
window_sweep,15.0,0.0,0.0,0.0,6,,,,,,,
pair_offset,,,,,6,1.0,2.0,-28.1281775,6.191198499999999,-33.0811363,-23.175218700000002,28.1281775
pair_offset,,,,,6,2.0,2.0,7.7644269999999995,4.954511,3.8008182,11.7280358,-7.7644269999999995
pair_offset,,,,,6,3.0,1.0,-1.588333,0.0,-1.588333,-1.588333,1.588333
pair_offset,,,,,6,4.0,0.0,0.0,,,,-0.0
pair_offset,,,,,6,5.0,0.0,0.0,,,,-0.0
