recorder_folder,DATE,TIME,LON,LAT,BAT,TEMP,HUMI,FILE,GAIN,SAMPLE RATE,CHANNEL,NOTE,wav_file,birdnet_start_s,birdnet_end_s,peak_time_s,gcc_start_s,gcc_end_s,tdoa_ms,lag_samples,bearing_1_deg,bearing_2_deg,detected_by
Recorder 1 - 1004 to 1704,04-10-2026,18:42:02,1.91770W,50.94274N,100%,9C,62%,1_20260410_184202.wav,AGC,48kHz,stereo,Part1,1_20260410_184202.wav,279.0,282.0,280.78602083333334,280.53602083333334,281.03602083333334,-0.0013020833333333333,-0.0625,359.8294055433168,180.1705944566832,"left,right"
Recorder 1 - 1004 to 1704,04-10-2026,18:42:02,1.91770W,50.94274N,100%,9C,62%,1_20260410_184202.wav,AGC,48kHz,stereo,Part1,1_20260410_184202.wav,372.0,375.0,374.6958333333333,374.4458333333333,374.9458333333333,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 1004 to 1704,04-10-2026,18:42:02,1.91770W,50.94274N,100%,9C,62%,1_20260410_184202.wav,AGC,48kHz,stereo,Part1,1_20260410_184202.wav,1041.0,1044.0,1042.3803541666666,1042.1303541666666,1042.6303541666666,0.01953125,0.9375,2.559764521436577,177.4402354785634,"left,right"
Recorder 1 - 1004 to 1704,04-10-2026,18:42:02,1.91770W,50.94274N,100%,9C,62%,1_20260410_184202.wav,AGC,48kHz,stereo,Part1,1_20260410_184202.wav,1683.0,1686.0,1685.1184166666667,1684.8684166666667,1685.3684166666667,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 1004 to 1704,04-10-2026,19:12:03,1.91770W,50.94274N,100%,9C,62%,1_20260410_191203.wav,AGC,48kHz,stereo,Part2,1_20260410_191203.wav,6.0,9.0,8.182,7.932,8.432,0.0,0.0,0.0,180.0,"left,right"
Recorder 2 - 1004 to 1704,04-10-2026,18:42:02,1.91834W,50.94073N,100%,9C,64%,2_20260410_184202.wav,AGC,48kHz,stereo,Part1,2_20260410_184202.wav,507.0,510.0,509.08366666666666,508.83366666666666,509.33366666666666,0.01953125,0.9375,2.559764521436577,177.4402354785634,"left,right"
Recorder 2 - 1004 to 1704,04-10-2026,18:42:02,1.91834W,50.94073N,100%,9C,64%,2_20260410_184202.wav,AGC,48kHz,stereo,Part1,2_20260410_184202.wav,843.0,846.0,845.1692916666667,844.9192916666667,845.4192916666667,-0.0013020833333333333,-0.0625,359.8294055433168,180.1705944566832,"left,right"
Recorder 2 - 1004 to 1704,04-10-2026,18:42:02,1.91834W,50.94073N,100%,9C,64%,2_20260410_184202.wav,AGC,48kHz,stereo,Part1,2_20260410_184202.wav,1041.0,1044.0,1041.2353541666666,1041.0,1041.4853541666666,0.0,0.0,0.0,180.0,"left,right"
Recorder 2 - 1004 to 1704,04-10-2026,18:42:02,1.91834W,50.94073N,100%,9C,64%,2_20260410_184202.wav,AGC,48kHz,stereo,Part1,2_20260410_184202.wav,1209.0,1212.0,1209.7601666666667,1209.5101666666667,1210.0101666666667,0.0390625,1.875,5.124656190170086,174.87534380982993,"left,right"
Recorder 2 - 1004 to 1704,04-10-2026,18:42:02,1.91834W,50.94073N,100%,9C,64%,2_20260410_184202.wav,AGC,48kHz,stereo,Part1,2_20260410_184202.wav,1347.0,1350.0,1347.6374166666667,1347.3874166666667,1347.8874166666667,-0.0013020833333333333,-0.0625,359.8294055433168,180.1705944566832,"left,right"
Recorder 2 - 1004 to 1704,04-10-2026,18:42:02,1.91834W,50.94073N,100%,9C,64%,2_20260410_184202.wav,AGC,48kHz,stereo,Part1,2_20260410_184202.wav,1545.0,1548.0,1545.9915416666668,1545.7415416666668,1546.2415416666668,0.0,0.0,0.0,180.0,"left,right"
Recorder 2 - 1004 to 1704,04-10-2026,19:12:03,1.91834W,50.94073N,100%,9C,64%,2_20260410_191203.wav,AGC,48kHz,stereo,Part2,2_20260410_191203.wav,186.0,189.0,186.06047916666665,186.0,186.31047916666665,0.0,0.0,0.0,180.0,"left,right"
Recorder 2 - 1004 to 1704,04-10-2026,19:12:03,1.91834W,50.94073N,100%,9C,64%,2_20260410_191203.wav,AGC,48kHz,stereo,Part2,2_20260410_191203.wav,552.0,555.0,553.5106041666667,553.2606041666667,553.7606041666667,0.0013020833333333333,0.0625,0.1705944566832045,179.8294055433168,"left,right"
Recorder 3 - 1004 to 1704,04-10-2026,18:42:02,1.92060W,50.94220N,100%,9C,61%,3_20260410_184202.wav,AGC,48kHz,stereo,Part1,3_20260410_184202.wav,156.0,159.0,157.97552083333332,157.72552083333332,158.22552083333332,0.0,0.0,0.0,180.0,"left,right"
Recorder 3 - 1004 to 1704,04-10-2026,18:42:02,1.92060W,50.94220N,100%,9C,61%,3_20260410_184202.wav,AGC,48kHz,stereo,Part1,3_20260410_184202.wav,1677.0,1680.0,1677.2038125,1677.0,1677.4538125,0.0,0.0,0.0,180.0,"left,right"
Recorder 5 - 1004 to 1704,04-10-2026,18:42:08,1.92338W,50.94177N,100%,8C,63%,5_20260410_184208.wav,AGC,48kHz,stereo,Part1,5_20260410_184208.wav,21.0,24.0,22.268,22.018,22.518,-0.01953125,-0.9375,357.4402354785634,182.5597645214366,"left,right"
Recorder 5 - 1004 to 1704,04-10-2026,18:42:08,1.92338W,50.94177N,100%,8C,63%,5_20260410_184208.wav,AGC,48kHz,stereo,Part1,5_20260410_184208.wav,153.0,156.0,154.8116875,154.5616875,155.0616875,-0.0013020833333333333,-0.0625,359.8294055433168,180.1705944566832,"left,right"
Recorder 5 - 1004 to 1704,04-10-2026,18:42:08,1.92338W,50.94177N,100%,8C,63%,5_20260410_184208.wav,AGC,48kHz,stereo,Part1,5_20260410_184208.wav,162.0,165.0,164.99,164.74,165.0,-0.0013020833333333333,-0.0625,359.8294055433168,180.1705944566832,"left,right"
Recorder 5 - 1004 to 1704,04-10-2026,18:42:08,1.92338W,50.94177N,100%,8C,63%,5_20260410_184208.wav,AGC,48kHz,stereo,Part1,5_20260410_184208.wav,480.0,483.0,480.3943958333333,480.1443958333333,480.6443958333333,-0.01953125,-0.9375,357.4402354785634,182.5597645214366,"left,right"
Recorder 5 - 1004 to 1704,04-10-2026,18:42:08,1.92338W,50.94177N,100%,8C,63%,5_20260410_184208.wav,AGC,48kHz,stereo,Part1,5_20260410_184208.wav,618.0,621.0,620.560125,620.310125,620.810125,-0.0234375,-1.125,356.92783242535745,183.07216757464255,"left,right"
Recorder 5 - 1004 to 1704,04-10-2026,18:42:08,1.92338W,50.94177N,100%,8C,63%,5_20260410_184208.wav,AGC,48kHz,stereo,Part1,5_20260410_184208.wav,774.0,777.0,776.9268541666667,776.6768541666667,777.0,-0.01953125,-0.9375,357.4402354785634,182.5597645214366,"left,right"
