recorder_folder,DATE,TIME,LON,LAT,BAT,TEMP,HUMI,FILE,GAIN,SAMPLE RATE,CHANNEL,NOTE,wav_file,birdnet_start_s,birdnet_end_s,peak_time_s,gcc_start_s,gcc_end_s,tdoa_ms,lag_samples,bearing_1_deg,bearing_2_deg,detected_by
Recorder 6 - 1004 to 1704,04-10-2026,18:42:07,1.92444W,50.93974N,100%,9C,62%,6_20260410_184207.wav,AGC,48kHz,stereo,Part1,6_20260410_184207.wav,159.0,162.0,159.1236875,159.0,159.3736875,0.0013020833333333333,0.0625,0.1705944566832045,179.8294055433168,"left,right"
Recorder 6 - 1004 to 1704,04-10-2026,18:42:07,1.92444W,50.93974N,100%,9C,62%,6_20260410_184207.wav,AGC,48kHz,stereo,Part1,6_20260410_184207.wav,324.0,327.0,325.52135416666664,325.27135416666664,325.77135416666664,-0.01953125,-0.9375,357.4402354785634,182.5597645214366,"left,right"
Recorder 6 - 1004 to 1704,04-10-2026,18:42:07,1.92444W,50.93974N,100%,9C,62%,6_20260410_184207.wav,AGC,48kHz,stereo,Part1,6_20260410_184207.wav,480.0,483.0,480.08733333333333,480.0,480.33733333333333,-0.0013020833333333333,-0.0625,359.8294055433168,180.1705944566832,"left,right"
Recorder 6 - 1004 to 1704,04-10-2026,18:42:07,1.92444W,50.93974N,100%,9C,62%,6_20260410_184207.wav,AGC,48kHz,stereo,Part1,6_20260410_184207.wav,771.0,774.0,771.8505833333334,771.6005833333334,772.1005833333334,0.0,0.0,0.0,180.0,"left,right"
Recorder 6 - 1004 to 1704,04-10-2026,18:42:07,1.92444W,50.93974N,100%,9C,62%,6_20260410_184207.wav,AGC,48kHz,stereo,Part1,6_20260410_184207.wav,888.0,891.0,889.6740416666667,889.4240416666667,889.9240416666667,-0.01953125,-0.9375,357.4402354785634,182.5597645214366,"left,right"
Recorder 6 - 1004 to 1704,04-10-2026,18:42:07,1.92444W,50.93974N,100%,9C,62%,6_20260410_184207.wav,AGC,48kHz,stereo,Part1,6_20260410_184207.wav,996.0,999.0,997.5476041666667,997.2976041666667,997.7976041666667,0.022135416666666668,1.0625,2.9013412575649227,177.09865874243508,"left,right"
Recorder 6 - 1004 to 1704,04-10-2026,18:42:07,1.92444W,50.93974N,100%,9C,62%,6_20260410_184207.wav,AGC,48kHz,stereo,Part1,6_20260410_184207.wav,1089.0,1092.0,1091.1650625,1090.9150625,1091.4150625,0.0,0.0,0.0,180.0,"left,right"
Recorder 6 - 1004 to 1704,04-10-2026,18:42:07,1.92444W,50.93974N,100%,9C,62%,6_20260410_184207.wav,AGC,48kHz,stereo,Part1,6_20260410_184207.wav,1131.0,1134.0,1133.3969375,1133.1469375,1133.6469375,0.10286458333333333,4.9375,13.604415340680433,166.39558465931958,"left,right"
Recorder 6 - 1004 to 1704,04-10-2026,18:42:07,1.92444W,50.93974N,100%,9C,62%,6_20260410_184207.wav,AGC,48kHz,stereo,Part1,6_20260410_184207.wav,1545.0,1548.0,1546.8286458333334,1546.5786458333334,1547.0786458333334,-0.0013020833333333333,-0.0625,359.8294055433168,180.1705944566832,"left,right"
Recorder 6 - 1004 to 1704,04-10-2026,19:12:09,1.92444W,50.93974N,100%,9C,62%,6_20260410_191209.wav,AGC,48kHz,stereo,Part2,6_20260410_191209.wav,21.0,24.0,22.342208333333332,22.092208333333332,22.592208333333332,-0.0013020833333333333,-0.0625,359.8294055433168,180.1705944566832,"left,right"
