event_id,n_sites,event_time_min,event_time_max,triangulation_success,quality_pass,solution_easting_m,solution_northing_m,solution_lon_deg,solution_lat_deg,branch_bits,objective,rms_residual_deg,geometry_score,branch_margin,chosen_bearings_deg
0,2,2026-04-04 07:15:04.975854+01:00,2026-04-04 07:21:18.097417+01:00,True,False,405833.9985198301,115702.91636323257,-1.9183388108778623,50.9407397601396,10,1.7047189698936713,21.273354194620868,0.9195104775026864,0.7873422828908727,107.678|354.533
1,2,,,False,False,,,,,,,,,,
2,3,2026-04-05 19:21:20.013125+01:00,2026-04-05 19:39:55.419875+01:00,True,False,405833.94888218615,115702.94469359984,-1.9183395169074204,50.94074001538769,010,4.480916614211864,39.27204277560213,0.09615671870281231,6.905680782498536e-05,85.899|174.533|349.015
3,3,2026-04-05 19:17:40.500396+01:00,2026-04-05 19:26:13.877667+01:00,True,False,405833.9441786669,115702.94434933217,-1.9183395838562851,50.94074001233859,010,4.658089773722808,39.837236027862005,0.2774800519333701,2.643975195315562e-05,85.899|185.125|349.015
4,3,2026-04-06 06:43:05.360604+01:00,2026-04-06 07:04:06.673917+01:00,True,False,406068.9157947077,115503.9571478101,-1.9149985716812281,50.938948277047494,111,3.322706922470696,25.265100899357115,0.6743737184418518,2.0049706975717165,151.550|193.956|94.101
5,3,2026-04-06 06:39:30.425271+01:00,2026-04-06 07:04:06.673917+01:00,True,False,406213.5362437546,115170.42847045786,-1.9129459041909438,50.93594756774531,111,2.7197262591206033,21.313508183386215,0.5933089766346841,1.8266651775009,151.550|193.956|115.158
6,3,2026-04-06 06:46:35.807146+01:00,2026-04-06 07:04:06.673917+01:00,True,False,405643.9141443844,115739.7010684445,-1.9210436537303404,50.94107239416418,110,8.987733468164699,58.982137538127944,0.08997976201373493,0.94411229739082,151.550|193.956|19.118
7,3,2026-04-06 06:46:35.807146+01:00,2026-04-06 07:07:25.093562+01:00,True,False,405877.24028133985,115930.99252879096,-1.9177197587250636,50.94279026299369,010,8.449245943274258,63.49088112032262,0.05484972604969854,0.010932873734441628,28.450|193.956|10.811
8,2,2026-04-06 07:14:32.870271+01:00,2026-04-06 07:31:01.101250+01:00,True,False,405877.2638921408,115930.90639177345,-1.9177194240291724,50.94278948818638,10,8.741810262924037,68.60246225464483,0.11898638927139418,inf,144.717|331.550
9,2,,,False,False,,,,,,,,,,
10,2,,,False,False,,,,,,,,,,
11,2,2026-04-07 19:04:24.870792+01:00,2026-04-07 19:05:13.581458+01:00,True,False,405833.9822114853,115702.92155537802,-1.9183390429070242,50.9407398069908,10,4.7980886608148845,45.56742176548454,0.8530223094286692,inf,107.678|346.220
12,2,,,False,False,,,,,,,,,,
13,2,,,False,False,,,,,,,,,,
14,2,,,False,False,,,,,,,,,,
15,2,,,False,False,,,,,,,,,,
16,2,2026-04-08 07:09:04.310125+01:00,2026-04-08 07:24:14.209938+01:00,True,False,406390.5502122414,115663.03031303512,-1.9104183036731925,50.940375302816896,10,3.437598986988558e-21,5.86310411555906e-10,0.14267175397057827,inf,94.101|85.899
17,4,2026-04-08 18:49:37.572958+01:00,2026-04-08 19:11:51.955104+01:00,True,False,405313.35386508453,115667.08540609105,-1.9257494672309132,50.94042248603612,1110,14.884208939080446,77.32508993831645,0.3810247460496059,0.19124602990395267,174.704|107.678|233.793|310.075
18,4,2026-04-08 18:47:23.028542+01:00,2026-04-08 19:11:51.955104+01:00,True,False,405302.39702384593,115677.41359675158,-1.925905263813995,50.9405154591348,1110,3.140038314582664,20.300669971105513,0.0029897807692111714,0.12917521328158488,174.704|174.875|233.793|310.075
19,2,,,False,False,,,,,,,,,,
20,2,,,False,False,,,,,,,,,,
21,2,,,False,False,,,,,,,,,,
22,2,2026-04-09 06:45:30.527917+01:00,2026-04-09 07:05:39.543417+01:00,True,False,405833.9822854668,115702.9116615598,-1.9183390420094035,50.94073971802169,10,6.514014007132358,56.46875156416574,0.7093404869976071,inf,115.158|340.339
23,2,2026-04-09 06:42:20.952583+01:00,2026-04-09 07:05:39.543417+01:00,True,False,405834.0200296452,115702.8939201994,-1.9183385050889281,50.940739558111304,10,2.9194645132646193,31.65806858332072,0.835091231488134,1.1809031028974606,115.158|351.783
