recorder_folder,DATE,TIME,LON,LAT,BAT,TEMP,HUMI,FILE,GAIN,SAMPLE RATE,CHANNEL,NOTE,wav_file,birdnet_start_s,birdnet_end_s,peak_time_s,gcc_start_s,gcc_end_s,tdoa_ms,lag_samples,bearing_1_deg,bearing_2_deg,detected_by,source_file,site_id,lon_deg,lat_deg,recording_datetime,recording_start,recording_block_key,event_time,easting_m,northing_m,canonical_easting_m,canonical_northing_m,corrected_event_time,event_id,abs_tdoa_ms
Recorder 2 - 0304 to 1004,04-05-2026,19:12:03,1.91834W,50.94073N,100%,14C,45%,2_20260405_191203.wav,AGC,48kHz,stereo,Part2,2_20260405_191203.wav,555.0,558.0,557.013125,556.763125,557.263125,0.4361979166666666,20.9375,85.89876061475425,94.10123938524576,"left,right",pheasant_results_sd2.csv,2,-1.91834,50.94073,2026-04-05 19:12:03+01:00,2026-04-05 19:12:03+01:00,2026-04-05_19:12:03,2026-04-05 19:21:20.013125+01:00,405833.91696353175,115701.83032429396,405833.91696353175,115702.94238304385,2026-04-05 19:21:20.013125+01:00,0,0.4361979166666666
Recorder 6 - 0304 to 1004,04-05-2026,19:12:03,1.92448W,50.93973N,100%,10C,54%,6_20260405_191203.wav,AGC,48kHz,stereo,Part2,6_20260405_191203.wav,849.0,852.0,850.8776666666666,850.6276666666666,851.1276666666666,-0.0833333333333333,-4.0,349.0147924468201,190.98520755317992,"left,right",pheasant_results_sd2.csv,6,-1.92448,50.93973,2026-04-05 19:12:03+01:00,2026-04-05 19:12:03+01:00,2026-04-05_19:12:03,2026-04-05 19:26:13.877667+01:00,405402.6278269988,115590.16653383299,405405.43492317986,115592.39495217375,2026-04-05 19:26:13.877667+01:00,0,0.0833333333333333
Recorder 3 0304 - 1004,04-05-2026,19:12:03,1.92069W,50.94217N,100%,12C,45%,3_20260405_191203.wav,AGC,48kHz,stereo,Part2,3_20260405_191203.wav,1671.0,1674.0,1672.419875,1672.169875,1672.669875,0.0416666666666666,2.0,5.467307828287304,174.5326921717127,"left,right",pheasant_results_sd2.csv,3,-1.92069,50.94217,2026-04-05 19:12:03+01:00,2026-04-05 19:12:03+01:00,2026-04-05_19:12:03,2026-04-05 19:39:55.419875+01:00,405668.6320662362,115861.78730242923,405670.7350641857,115866.23779697344,2026-04-05 19:39:55.419875+01:00,0,0.0416666666666666
Recorder 6 - 0304 to 1004,04-06-2026,06:39:02,1.92448W,50.93973N,100%,-1C,96%,6_20260406_063902.wav,AGC,48kHz,stereo,Part1,6_20260406_063902.wav,243.0,246.0,243.36060416666663,243.11060416666663,243.61060416666663,0.4361979166666666,20.9375,85.89876061475425,94.10123938524576,"left,right",pheasant_results_sd2.csv,6,-1.92448,50.93973,2026-04-06 06:39:02+01:00,2026-04-06 06:39:02+01:00,2026-04-06_06:39:02,2026-04-06 06:43:05.360604+01:00,405402.6278269988,115590.16653383299,405405.43492317986,115592.39495217375,2026-04-06 06:43:05.360604+01:00,1,0.4361979166666666
Recorder 3 0304 - 1004,04-06-2026,06:39:02,1.92069W,50.94217N,100%,0C,91%,3_20260406_063902.wav,AGC,48kHz,stereo,Part1,3_20260406_063902.wav,453.0,456.0,453.8071458333333,453.5571458333333,454.0571458333333,-0.10546875,-5.0625,346.0442843123119,193.9557156876881,"left,right",pheasant_results_sd2.csv,3,-1.92069,50.94217,2026-04-06 06:39:02+01:00,2026-04-06 06:39:02+01:00,2026-04-06_06:39:02,2026-04-06 06:46:35.807146+01:00,405668.6320662362,115861.78730242923,405670.7350641857,115866.23779697344,2026-04-06 06:46:35.807146+01:00,1,0.10546875
Recorder 1 - 0304 to 1004,04-06-2026,06:39:02,1.91770W,50.94274N,100%,2C,92%,1_20260406_063902.wav,AGC,48kHz,stereo,Part1,1_20260406_063902.wav,1503.0,1506.0,1504.6739166666666,1504.4239166666666,1504.9239166666666,0.2083333333333333,10.0,28.449819023970527,151.55018097602948,"left,right",pheasant_results_sd2.csv,1,-1.9177,50.94274,2026-04-06 06:39:02+01:00,2026-04-06 06:39:02+01:00,2026-04-06_06:39:02,2026-04-06 07:04:06.673917+01:00,405878.6354975383,115925.40396812544,405877.2241577801,115930.96270176416,2026-04-06 07:04:06.673917+01:00,1,0.2083333333333333
Recorder 3 0304 - 1004,04-08-2026,18:42:02,1.92069W,50.94217N,100%,25C,51%,3_20260408_184202.wav,AGC,48kHz,stereo,Part1,3_20260408_184202.wav,453.0,456.0,455.57295833333336,455.32295833333336,455.82295833333336,0.4166666666666667,20.0,72.32192951701641,107.6780704829836,"left,right",pheasant_results_sd2.csv,3,-1.92069,50.94217,2026-04-08 18:42:02+01:00,2026-04-08 18:42:02+01:00,2026-04-08_18:42:02,2026-04-08 18:49:37.572958+01:00,405668.6320662362,115861.78730242923,405670.7350641857,115866.23779697344,2026-04-08 18:49:37.572958+01:00,2,0.4166666666666667
Recorder 5 - 0304 to 1004,04-08-2026,18:42:02,1.92338W,50.94177N,100%,24C,56%,5_20260408_184202.wav,AGC,48kHz,stereo,Part1,5_20260408_184202.wav,768.0,771.0,770.76325,770.51325,771.0,-0.3528645833333333,-16.9375,306.2074335173411,233.7925664826589,"left,right",pheasant_results_sd2.csv,5,-1.92338,50.94177,2026-04-08 18:42:02+01:00,2026-04-08 18:42:02+01:00,2026-04-08_18:42:02,2026-04-08 18:54:52.763250+01:00,405479.68183882686,115817.10592435815,405478.2778005708,115815.99241150077,2026-04-08 18:54:52.763250+01:00,2,0.3528645833333333
Recorder 6 - 0304 to 1004,04-08-2026,18:42:02,1.92448W,50.93973N,100%,22C,63%,6_20260408_184202.wav,AGC,48kHz,stereo,Part1,6_20260408_184202.wav,1200.0,1203.0,1200.655166666667,1200.405166666667,1200.905166666667,-0.3346354166666667,-16.0625,310.07524271999404,229.924757280006,"left,right",pheasant_results_sd2.csv,6,-1.92448,50.93973,2026-04-08 18:42:02+01:00,2026-04-08 18:42:02+01:00,2026-04-08_18:42:02,2026-04-08 19:02:02.655167+01:00,405402.6278269988,115590.16653383299,405405.43492317986,115592.39495217375,2026-04-08 19:02:02.655167+01:00,2,0.3346354166666667
Recorder 2 - 0304 to 1004,04-08-2026,18:42:02,1.91834W,50.94073N,100%,26C,51%,2_20260408_184202.wav,AGC,48kHz,stereo,Part1,2_20260408_184202.wav,1788.0,1791.0,1789.9551041666666,1789.7051041666666,1790.2051041666666,0.0403645833333333,1.9375,5.295958265121399,174.7040417348786,"left,right",pheasant_results_sd2.csv,2,-1.91834,50.94073,2026-04-08 18:42:02+01:00,2026-04-08 18:42:02+01:00,2026-04-08_18:42:02,2026-04-08 19:11:51.955104+01:00,405833.91696353175,115701.83032429396,405833.91696353175,115702.94238304385,2026-04-08 19:11:51.955104+01:00,2,0.0403645833333333
Recorder 2 - 0304 to 1004,04-10-2026,07:09:03,1.91834W,50.94073N,100%,3C,82%,2_20260410_070903.wav,AGC,48kHz,stereo,Part2,2_20260410_070903.wav,51.0,54.0,53.55835416666667,53.30835416666667,53.80835416666667,0.2486979166666666,11.9375,34.65887269097194,145.34112730902805,"left,right",pheasant_results_sd2.csv,2,-1.91834,50.94073,2026-04-10 07:09:03+01:00,2026-04-10 07:09:03+01:00,2026-04-10_07:09:03,2026-04-10 07:09:56.558354+01:00,405833.91696353175,115701.83032429396,405833.91696353175,115702.94238304385,2026-04-10 07:09:56.558354+01:00,3,0.2486979166666666
Recorder 3 0304 - 1004,04-10-2026,07:09:03,1.92069W,50.94217N,100%,3C,78%,3_20260410_070903.wav,AGC,48kHz,stereo,Part2,3_20260410_070903.wav,192.0,195.0,194.62654166666667,194.37654166666667,194.87654166666667,0.1640625,7.875000000000001,22.033970367999984,157.96602963200002,"left,right",pheasant_results_sd2.csv,3,-1.92069,50.94217,2026-04-10 07:09:03+01:00,2026-04-10 07:09:03+01:00,2026-04-10_07:09:03,2026-04-10 07:12:17.626542+01:00,405668.6320662362,115861.78730242923,405670.7350641857,115866.23779697344,2026-04-10 07:12:17.626542+01:00,3,0.1640625
